object_id	image name	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	Slice	FeretX	FeretY	FeretAngle	MinFeret	Length (pixel)	Length (mm)
44_n2_kl_d2_1_88	44_n2_kl_d2_1_88.jpg	106	201.925	19.727	151	255	0	0	0	102.078	1	24	30	145.376	12.625	105.11	1.114166
44_n2_kl_d2_1_903	44_n2_kl_d2_1_903.jpg	105	190.095	24.356	127	255	0	0	0	104.173	1	24	31	176.698	0.36	104.173	1.1042338
44_n2_kl_d2_2_1_1186	44_n2_kl_d2_2_1_1186.jpg	45	207.156	14.398	188	237	0	0	0	44.777	1	18	19	113.703	0.158	44.777	0.4746362
44_n2_kl_d2_2_1_1456	44_n2_kl_d2_2_1_1456.jpg	47	204.979	10.557	188	236	0	0	0	46.615	1	12	12	144.605	0.086	46.615	0.494119
44_n2_kl_d2_2_1_1457	44_n2_kl_d2_2_1_1457.jpg	110	163.864	26.261	125	242	0	0	0	108.665	1	32	81	6.34	6.691	109.841	1.1643146
44_n2_kl_d2_2_1_1575	44_n2_kl_d2_2_1_1575.jpg	50	203.3	14.933	181	235	0	0	0	49.041	1	20	29	16.587	0.075	49.041	0.5198346
44_n2_kl_d2_2_1_1638	44_n2_kl_d2_2_1_1638.jpg	73	202.945	15.889	165	235	0	0	0	72.691	1	18	94	82.093	0.118	72.691	0.7705246
44_n2_kl_d2_2_1_1866	44_n2_kl_d2_2_1_1866.jpg	72	153.986	36.203	103	255	0	0	0	71.344	1	30	61	31.239	0.298	71.344	0.7562464
44_n2_kl_d2_2_1_199	44_n2_kl_d2_2_1_199.jpg	93	142.892	30.982	109	219	0	0	0	92.114	1	30	25	110.993	0.011	92.114	0.9764084
44_n2_kl_d2_2_1_318	44_n2_kl_d2_2_1_318.jpg	94	204.66	7.704	182	223	0	0	0	44.272	1	30	60	71.565	34.254	93.763	0.9938878
44_n2_kl_d2_2_1_327	44_n2_kl_d2_2_1_327.jpg	54	221.074	13.548	194	242	0	0	0	53	1	30	64	58.109	0.101	53	0.5618
44_n2_kl_d2_2_1_445	44_n2_kl_d2_2_1_445.jpg	77	164.909	22.739	138	238	0	0	0	76.577	1	54	81	40.764	0.316	76.577	0.8117162
44_n2_kl_d2_2_1_464	44_n2_kl_d2_2_1_464.jpg	56	211.5	12.643	190	255	0	0	0	55.66	1	17	19	162.216	0.21	55.66	0.589996
44_n2_kl_d2_2_1_517	44_n2_kl_d2_2_1_517.jpg	39	218.154	9.7	202	241	0	0	0	38.079	1	20	13	150.068	0.046	38.079	0.4036374
44_n2_kl_d2_2_1_519	44_n2_kl_d2_2_1_519.jpg	41	183.512	12.582	160	217	0	0	0	40.804	1	101	67	17.103	0.073	40.804	0.4325224
44_n2_kl_d2_2_1_534	44_n2_kl_d2_2_1_534.jpg	44	220.477	6.181	210	241	0	0	0	43.267	1	11	10	146.31	0.144	43.267	0.4586302
44_n2_kl_d2_2_1_574	44_n2_kl_d2_2_1_574.jpg	115	197.522	27.193	127	240	0	0	0	114.769	1	26	26	157.457	0.086	114.769	1.2165514
44_n2_kl_d2_2_1_678	44_n2_kl_d2_2_1_678.jpg	69	179.594	38.087	113	254	0	0	0	68.447	1	39	71	11.802	0.236	68.447	0.7255382
44_n2_kl_d2_2_1_720	44_n2_kl_d2_2_1_720.jpg	61	170.295	38.081	121	242	0	0	0	60.638	1	14	35	13.349	0.16	60.638	0.6427628
44_n2_kl_d2_2_1_765	44_n2_kl_d2_2_1_765.jpg	59	180.508	25.89	136	226	0	0	0	58.421	1	45	89	83.118	0.121	58.421	0.6192626
44_n2_kl_d2_2_1_808	44_n2_kl_d2_2_1_808.jpg	56	185.071	32.203	130	239	0	0	0	55.073	1	17	38	29.358	0.137	55.073	0.5837738
44_n2_kl_d2_2_1_857	44_n2_kl_d2_2_1_857.jpg	54	219.463	5.354	207	232	0	0	0	53.852	1	15	19	148.671	0.161	53.852	0.5708312
44_n2_kl_d2_2_1_859	44_n2_kl_d2_2_1_859.jpg	53	166.113	47.609	105	255	0	0	0	52.202	1	15	30	20.171	0.155	52.202	0.5533412
44_n2_kl_d2_2_1_939	44_n2_kl_d2_2_1_939.jpg	50	164.76	36.364	124	255	0	0	0	49.739	1	24	58	59.826	0.151	49.739	0.5272334
44_n2_kl_d2_2_150_1126	44_n2_kl_d2_2_150_1126.jpg	24	226.083	9.6	210	236	0	0	0	23.022	1	9	21	177.51	0.004	23.022	0.2440332
44_n2_kl_d2_2_150_1915	44_n2_kl_d2_2_150_1915.jpg	37	212.459	13.351	193	242	0	0	0	36.139	1	15	44	75.579	0.05	36.139	0.3830734
44_n2_kl_d2_2_150_1950	44_n2_kl_d2_2_150_1950.jpg	22	228.636	5.965	219	241	0	0	0	21.095	1	15	7	95.44	0.022	21.095	0.223607
44_n2_kl_d2_2_150_2210	44_n2_kl_d2_2_150_2210.jpg	32	197.188	26.092	155	255	0	0	0	31.623	1	5	24	18.435	0.036	31.623	0.3352038
44_n2_kl_d2_2_150_3030	44_n2_kl_d2_2_150_3030.jpg	36	188.139	31.537	142	229	0	0	0	35	1	12	12	90	0	35	0.371
44_n2_kl_d2_2_150_4799	44_n2_kl_d2_2_150_4799.jpg	45	231.756	12.828	207	255	0	0	0	44.553	1	18	15	170.961	0.031	44.553	0.4722618
44_n2_kl_d2_2_150_5353	44_n2_kl_d2_2_150_5353.jpg	18	231.056	17.511	208	255	0	0	0	17.493	1	14	49	149.036	0.011	17.493	0.1854258
44_n2_kl_d2_2_150_649	44_n2_kl_d2_2_150_649.jpg	32	209.625	10.844	187	233	0	0	0	31.89	1	14	12	138.814	0.103	31.89	0.338034
44_n3_gr_d2_1_1_181	44_n3_gr_d2_1_1_181.jpg	191	134.277	31.749	92	205	0	0	0	190.539	1	110	147	149.397	0.342	190.539	2.0197134
44_n3_gr_d2_1_1_225	44_n3_gr_d2_1_1_225.jpg	53	206.189	9.878	188	230	0	0	0	52.154	1	22	77	85.601	0.092	52.154	0.5528324
44_n3_gr_d2_1_1_237	44_n3_gr_d2_1_1_237.jpg	49	178.327	26.987	147	231	0	0	0	48.052	1	12	73	77.989	0.01	48.052	0.5093512
44_n3_gr_d2_1_1_240	44_n3_gr_d2_1_1_240.jpg	259	92.405	32.835	75	240	0	0	0	258.565	1	166	58	165.211	0.954	258.565	2.740789
44_n3_gr_d2_1_1_289	44_n3_gr_d2_1_1_289.jpg	45	169.4	23.408	149	255	0	0	0	44.598	1	11	57	70.346	0.12	44.598	0.4727388
44_n3_gr_d2_1_1_300	44_n3_gr_d2_1_1_300.jpg	228	130.93	40.766	86	255	0	0	0	227.607	1	141	88	164.193	0.766	227.607	2.4126342
44_n3_gr_d2_1_1_301	44_n3_gr_d2_1_1_301.jpg	130	164.308	32.783	121	234	0	0	0	129.275	1	35	39	145.081	0.182	129.275	1.370315
44_n3_gr_d2_1_1_331	44_n3_gr_d2_1_1_331.jpg	118	177.78	17.288	156	232	0	0	0	117.175	1	39	30	158.471	0.059	117.175	1.242055
44_n3_gr_d2_1_1_351	44_n3_gr_d2_1_1_351.jpg	240	121.688	28.008	90	196	0	0	0	239.852	1	225	107	11.544	0.185	239.852	2.5424312
44_n3_gr_d2_1_1_390	44_n3_gr_d2_1_1_390.jpg	321	172.059	31.518	127	255	0	0	0	320.539	1	165	175	149.435	0.365	320.539	3.3977134
